Feedback_ID,Customer_ID,Date_Submitted,Feedback_Text,Satisfaction_Score,Contacted_Agent,Referred_Claim,Unmatched_Customer_Flag
FDB90000,CUST11838,2020-08-07,I'm not happy with the premium charged.,3,Yes,Yes,No
FDB90001,CUST12252,2021-01-13,I'm not happy with the premium charged.,1,No,Yes,No
FDB90002,CUST10495,2022-02-16,Smooth experience with no issues.,5,No,Yes,No
FDB90003,CUST11182,2021-02-16,Claim process could be faster.,2,No,Yes,No
FDB90004,CUST11047,2021-04-09,The agent was helpful and explained everything.,5,No,No,No
FDB90005,CUST12167,2020-01-05,Very satisfied with the claim process.,5,Yes,No,No
FDB90006,,2023-11-25,Excellent customer service support.,4,Yes,Yes,Yes
FDB90007,,2023-02-06,Need more clarity on policy coverage.,3,No,No,Yes
FDB90008,CUST12331,2022-02-01,Smooth experience with no issues.,5,Yes,Yes,No
FDB90009,CUST12252,2020-02-27,Excellent customer service support.,4,No,No,No
FDB90010,CUST10090,2021-02-17,The mobile app experience was intuitive.,3,Yes,No,No
FDB90011,CUST10985,2023-11-22,I'm not happy with the premium charged.,1,Yes,No,No
FDB90012,CUST12396,2020-05-09,Claim process could be faster.,3,No,No,No
FDB90013,CUST11030,2023-10-11,The agent was helpful and explained everything.,4,Yes,No,No
FDB90014,CUST10100,2022-01-22,Need more clarity on policy coverage.,2,Yes,No,No
FDB90015,,2022-11-11,Need more clarity on policy coverage.,2,Yes,No,Yes
FDB90016,CUST12335,2022-02-08,The mobile app experience was intuitive.,5,Yes,Yes,No
FDB90017,,2021-11-28,I'm not happy with the premium charged.,3,No,Yes,Yes
FDB90018,,2022-09-08,Need more clarity on policy coverage.,1,Yes,Yes,Yes
FDB90019,CUST11327,2022-09-12,Claim process could be faster.,2,Yes,No,No
FDB90020,,2022-03-02,The mobile app experience was intuitive.,4,Yes,No,Yes
FDB90021,CUST12366,2022-06-24,Excellent customer service support.,5,Yes,Yes,No
FDB90022,,2022-04-08,I'm not happy with the premium charged.,3,Yes,No,Yes
FDB90023,,2023-01-20,I'm not happy with the premium charged.,1,No,No,Yes
FDB90024,CUST10942,2020-02-17,Smooth experience with no issues.,5,Yes,Yes,No
FDB90025,CUST11891,2021-08-11,Had to wait too long for claim approval.,1,Yes,No,No
